,coord,country,id,name
3,"{'lon': 76, 'lat': 29}",IN,1270260,State of Haryāna
7,"{'lon': 77, 'lat': 20}",IN,1269750,Republic of India
18,"{'lon': 79.883331, 'lat': 24.766666}",IN,1271231,Ghūra
40,"{'lon': 77.416664, 'lat': 34.049999}",IN,1257986,Rumbak
99,"{'lon': 88.298058, 'lat': 22.627501}",IN,1348747,Bankra
409,"{'lon': 74.48333, 'lat': 20.033331}",IN,1252738,Yeola
410,"{'lon': 74.716667, 'lat': 14.96667}",IN,1252744,Yellapur
411,"{'lon': 75.699997, 'lat': 21.16667}",IN,1252773,Yaval
735,"{'lon': 94.26667, 'lat': 26.1}",IN,1252840,Wokha
736,"{'lon': 79, 'lat': 20.23333}",IN,1252925,Warora
737,"{'lon': 80.033333, 'lat': 21.75}",IN,1252946,Waraseoni
738,"{'lon': 76.98333, 'lat': 17.066669}",IN,1253041,Wadi
739,"{'lon': 75.800003, 'lat': 12.2}",IN,1253132,Virarajendrapet
740,"{'lon': 72.800003, 'lat': 19.466669}",IN,1253133,Virar
741,"{'lon': 76.933327, 'lat': 10.56667}",IN,1253219,Vettaikkaranpudur
742,"{'lon': 79.849998, 'lat': 10.36667}",IN,1253330,Vedaraniyam
743,"{'lon': 76.333328, 'lat': 9.7}",IN,1253340,Vayalar
744,"{'lon': 77.416672, 'lat': 9.23333}",IN,1253357,Vasudevanallur
745,"{'lon': 77.650002, 'lat': 8.38333}",IN,1253605,Vadakku Valliyur
746,"{'lon': 77.800003, 'lat': 9.96667}",IN,1253671,Usilampatti
747,"{'lon': 77.26667, 'lat': 14.95}",IN,1253698,Uravakonda
748,"{'lon': 72.93972, 'lat': 18.87694}",IN,1253702,Uran
749,"{'lon': 70.283333, 'lat': 21.73333}",IN,1253736,Upleta
750,"{'lon': 78.559113, 'lat': 17.405769}",IN,1253744,Uppal Kalan
751,"{'lon': 80.5, 'lat': 26.533331}",IN,1253747,Unnao
752,"{'lon': 72.400002, 'lat': 23.799999}",IN,1253750,Unjha
753,"{'lon': 71.76667, 'lat': 23.883329}",IN,1253786,Un
754,"{'lon': 73.116669, 'lat': 22.700001}",IN,1253805,Umreth
755,"{'lon': 79.333328, 'lat': 20.85}",IN,1253807,Umred
756,"{'lon': 78.616669, 'lat': 11.16667}",IN,1254043,Turaiyur
757,"{'lon': 75.48333, 'lat': 26.01667}",IN,1254282,Todaraisingh
758,"{'lon': 83.150002, 'lat': 20.299999}",IN,1254304,Titlagarh
759,"{'lon': 77.883331, 'lat': 8.33333}",IN,1254317,Tisaiyanvilai
760,"{'lon': 76.566673, 'lat': 9.38333}",IN,1254335,Tiruvalla
761,"{'lon': 75.050003, 'lat': 16.5}",IN,1254727,Terdal
762,"{'lon': 81.650002, 'lat': 24.98333}",IN,1254732,Teonthar
763,"{'lon': 84.23333, 'lat': 18.616671}",IN,1254794,Tekkali
764,"{'lon': 84.833328, 'lat': 24.933331}",IN,1254797,Tekari
765,"{'lon': 74.925278, 'lat': 31.450001}",IN,1254868,Tarn Taran
766,"{'lon': 76.033333, 'lat': 23.33333}",IN,1254909,Tarana
767,"{'lon': 81.699997, 'lat': 16.75}",IN,1254953,Tanuku
768,"{'lon': 80.116669, 'lat': 29.08333}",IN,1255027,Tanakpur
769,"{'lon': 75.866669, 'lat': 31.94861}",IN,1255076,Talwara
770,"{'lon': 74.216667, 'lat': 21.566669}",IN,1255104,Taloda
771,"{'lon': 75.349998, 'lat': 12.05}",IN,1255121,Taliparamba
772,"{'lon': 73.800003, 'lat': 15.46667}",IN,1255131,Taleigao
773,"{'lon': 88.921387, 'lat': 22.586109}",IN,1255211,Taki
774,"{'lon': 79.616669, 'lat': 17.15}",IN,1255344,Suriapet
775,"{'lon': 80.01667, 'lat': 13.7}",IN,1255483,Suluru
776,"{'lon': 75.199722, 'lat': 31.215281}",IN,1255488,Sultanpur
777,"{'lon': 76.033333, 'lat': 24.65}",IN,1255551,Suket
778,"{'lon': 79.050003, 'lat': 29.033331}",IN,1255597,Suar
779,"{'lon': 77.933327, 'lat': 8.61667}",IN,1255620,Srivaikuntam
780,"{'lon': 78.866669, 'lat': 16.08333}",IN,1255621,Srisailam
781,"{'lon': 78.25544, 'lat': 17.26652}",IN,1255625,Sriramnagar
782,"{'lon': 79.948891, 'lat': 12.96889}",IN,1255630,Sriperumbudur
783,"{'lon': 74.466667, 'lat': 34.299999}",IN,1255714,Sopur
784,"{'lon': 73.566673, 'lat': 21.16667}",IN,1255762,Songadh
785,"{'lon': 95.033333, 'lat': 27.066669}",IN,1255788,Sonari
786,"{'lon': 73.666672, 'lat': 25.91667}",IN,1255860,Sojat
787,"{'lon': 78.199997, 'lat': 22.700001}",IN,1255884,Sohagpur
788,"{'lon': 72.416672, 'lat': 25.633329}",IN,1255925,Siwana
789,"{'lon': 84.366669, 'lat': 26.216669}",IN,1255927,Siwan
790,"{'lon': 79.699997, 'lat': 28.933331}",IN,1255963,Sitarganj
791,"{'lon': 76.900002, 'lat': 15.63333}",IN,1256029,Siruguppa
792,"{'lon': 78.833328, 'lat': 18.383329}",IN,1256039,Sirsilla
793,"{'lon': 80.033333, 'lat': 15.25}",IN,1256176,Singarayakonda
794,"{'lon': 77.01667, 'lat': 11}",IN,1256184,Singanallur
795,"{'lon': 69.833328, 'lat': 22.433331}",IN,1256333,Sikka
796,"{'lon': 81.883331, 'lat': 24.41667}",IN,1256369,Sidhi
797,"{'lon': 80.833328, 'lat': 27.283331}",IN,1256372,Sidhauli
798,"{'lon': 72.383331, 'lat': 23.91667}",IN,1256382,Siddhapur
799,"{'lon': 76.716667, 'lat': 23.4}",IN,1256418,Shujalpur
800,"{'lon': 75.23333, 'lat': 15}",IN,1256539,Shiggaon
801,"{'lon': 76.333328, 'lat': 9.7}",IN,1256558,Shertallai
802,"{'lon': 76.833328, 'lat': 16.700001}",IN,1256722,Shahpur
803,"{'lon': 77.083328, 'lat': 23.200001}",IN,1256913,Sehore
804,"{'lon': 78.542633, 'lat': 17.504271}",IN,1256922,Secunderabad
805,"{'lon': 71.466667, 'lat': 22.549999}",IN,1256929,Sayla
806,"{'lon': 75.883331, 'lat': 21.15}",IN,1256959,Savda
807,"{'lon': 77.25, 'lat': 11.51667}",IN,1256989,Sathyamangalam
808,"{'lon': 75, 'lat': 26.066669}",IN,1257093,Sarwar
809,"{'lon': 75.25, 'lat': 29.700001}",IN,1257191,Sardulgarh
810,"{'lon': 74.48333, 'lat': 28.433331}",IN,1257198,Sardarshahr
811,"{'lon': 78.900002, 'lat': 21.383329}",IN,1257307,Saoner
812,"{'lon': 75.199997, 'lat': 17.433331}",IN,1257409,Sangola
813,"{'lon': 76.283333, 'lat': 24.91667}",IN,1257410,Sangod
814,"{'lon': 74.449997, 'lat': 29.799999}",IN,1257429,Sangaria
815,"{'lon': 76.550003, 'lat': 15.1}",IN,1257456,Sandur
816,"{'lon': 71.772217, 'lat': 24.75528}",IN,1257477,Sanchor
817,"{'lon': 76.066673, 'lat': 22.183331}",IN,1257481,Sanawad
818,"{'lon': 72.583328, 'lat': 25.816669}",IN,1257528,Samdari
819,"{'lon': 83.966667, 'lat': 21.450001}",IN,1257542,Sambalpur
820,"{'lon': 75.783333, 'lat': 12.96667}",IN,1257698,Sakleshpur
821,"{'lon': 87.666672, 'lat': 23.950001}",IN,1257751,Sainthia
822,"{'lon': 86.033333, 'lat': 25.75}",IN,1257936,Rusera
823,"{'lon': 83.066673, 'lat': 24.700001}",IN,1258111,Robertsganj
824,"{'lon': 86.872223, 'lat': 21.52611}",IN,1258229,Remuna
825,"{'lon': 79.083328, 'lat': 23.633329}",IN,1258247,Rehli
826,"{'lon': 74.783333, 'lat': 16.48333}",IN,1258278,Raybag
827,"{'lon': 84.849998, 'lat': 26.98333}",IN,1258294,Raxaul
828,"{'lon': 75.066673, 'lat': 23.316669}",IN,1258342,Ratlam
829,"{'lon': 78.166672, 'lat': 11.46667}",IN,1258386,Rasipuram
830,"{'lon': 75.23333, 'lat': 30.25}",IN,1258584,Rampura
831,"{'lon': 77.800003, 'lat': 23.33333}",IN,1258952,Raisen
832,"{'lon': 78.099998, 'lat': 30.316669}",IN,1258967,Raipur
833,"{'lon': 77.583328, 'lat': 19.9}",IN,1259154,Pusad
834,"{'lon': 76.933327, 'lat': 9}",IN,1259243,Punalur
835,"{'lon': 77.416672, 'lat': 9.16667}",IN,1259263,Puliyangudi
836,"{'lon': 82.26667, 'lat': 17.116671}",IN,1259508,Pithapuram
837,"{'lon': 76.099167, 'lat': 12.33972}",IN,1259535,Piriyapatna
838,"{'lon': 75.533333, 'lat': 19.799999}",IN,1259552,Pipri
839,"{'lon': 73.537781, 'lat': 26.385559}",IN,1259608,Pipar
840,"{'lon': 75.604103, 'lat': 28.368401}",IN,1259693,Pilani
841,"{'lon': 80.199997, 'lat': 27.633329}",IN,1259701,Pihani
842,"{'lon': 77.550003, 'lat': 10.11667}",IN,1259879,Periyakulam
843,"{'lon': 79.316673, 'lat': 10.43333}",IN,1260040,Pattukkottai
844,"{'lon': 79.199997, 'lat': 23.9}",IN,1260129,Patharia
845,"{'lon': 75.183327, 'lat': 19.16667}",IN,1260135,Pathardi
846,"{'lon': 83.466667, 'lat': 22.566669}",IN,1260141,Pathalgaon
847,"{'lon': 86.566673, 'lat': 20.566669}",IN,1260178,Patamundai
848,"{'lon': 77.616669, 'lat': 30.450001}",IN,1260421,Paonta Sahib
849,"{'lon': 88.283333, 'lat': 23.08333}",IN,1260527,Pandua
850,"{'lon': 79.98333, 'lat': 23.299999}",IN,1260612,Panagar
851,"{'lon': 81.050003, 'lat': 23.35}",IN,1260718,Pali
852,"{'lon': 76.050003, 'lat': 18.16667}",IN,1261012,Osmanabad
853,"{'lon': 80.849998, 'lat': 16.783331}",IN,1261110,Nuzvid
854,"{'lon': 91.26667, 'lat': 25.51667}",IN,1261205,Nongstoin
855,"{'lon': 75.800003, 'lat': 27.73333}",IN,1261342,Neem ka Thana
856,"{'lon': 74.683327, 'lat': 24.616671}",IN,1261369,Nimbahera
857,"{'lon': 77.389999, 'lat': 13.10222}",IN,1261539,Nelamangala
858,"{'lon': 75.366669, 'lat': 15.56667}",IN,1261667,Navalgund
859,"{'lon': 78.23333, 'lat': 10.23333}",IN,1261705,Nattam
1326,"{'lon': 73.855347, 'lat': 18.519569}",IN,1259229,Pune
1373,"{'lon': 77.216667, 'lat': 28.633333}",IN,1273840,Connaught Place
1471,"{'lon': 77.25, 'lat': 28.75}",IN,1273293,National Capital Territory of Delhi
1472,"{'lon': 77.216667, 'lat': 28.666668}",IN,1273294,Delhi
1505,"{'lon': 77.916664, 'lat': 27.116667}",IN,1264031,Malpura
1506,"{'lon': 77.783333, 'lat': 27.15}",IN,1266510,Kiraoli
1507,"{'lon': 77.51667, 'lat': 27.15}",IN,1279275,Aghāpur
1520,"{'lon': 82.966667, 'lat': 25.283333}",IN,1268571,Kakarmatha
1521,"{'lon': 81.933334, 'lat': 25.283333}",IN,1267806,Karchana
1584,"{'lon': 75.583336, 'lat': 26.833332}",IN,1273690,Dahmi
1605,"{'lon': 73.51667, 'lat': 23.783333}",IN,1276632,Bechiwāra
1956,"{'lon': 78, 'lat': 11}",IN,1255053,State of Tamil Nādu
1957,"{'lon': 79.133331, 'lat': 12.5}",IN,1259434,Polur
1958,"{'lon': 76, 'lat': 13.5}",IN,1267701,State of Karnātaka
1959,"{'lon': 77.416672, 'lat': 12.55}",IN,1268189,Kanakapura
2057,"{'lon': 73.466667, 'lat': 24.4}",IN,1268980,Jharol
2069,"{'lon': 78.050003, 'lat': 27.450001}",IN,1257896,Sadabad
2764,"{'lon': 93.666672, 'lat': 24.33333}",IN,1273909,Churachandpur
3237,"{'lon': 74.5, 'lat': 15.86667}",IN,1276533,Belgaum
3238,"{'lon': 75.166672, 'lat': 15.35}",IN,1269920,Hubli
3239,"{'lon': 92.675171, 'lat': 11.70065}",IN,1278647,Union Territory of Andaman and Nicobar Islands
3240,"{'lon': 92.75, 'lat': 11.66667}",IN,1259385,Port Blair
3241,"{'lon': 92.800003, 'lat': 26.633329}",IN,1254710,Tezpur
6200,"{'lon': 77.600281, 'lat': 13.1075}",IN,1252758,Yelahanka
6201,"{'lon': 78.133331, 'lat': 20.4}",IN,1252770,Yavatmal
6202,"{'lon': 77.133331, 'lat': 16.76667}",IN,1252822,Yadgir
6203,"{'lon': 76.800003, 'lat': 11.36667}",IN,1252887,Wellington
6204,"{'lon': 79.050003, 'lat': 28.216669}",IN,1252892,Wazirganj
6205,"{'lon': 77.150002, 'lat': 20.1}",IN,1252908,Washim
6206,"{'lon': 78.26667, 'lat': 21.466669}",IN,1252919,Warud
6207,"{'lon': 85.633331, 'lat': 25.01667}",IN,1252930,Waris Aliganj
6208,"{'lon': 70.933327, 'lat': 22.616671}",IN,1252958,Wankaner
6209,"{'lon': 78.949997, 'lat': 20.066669}",IN,1252960,Wani
6210,"{'lon': 79.383331, 'lat': 12.93333}",IN,1252997,Walajapet
6211,"{'lon': 73.900002, 'lat': 17.933331}",IN,1253013,Wai
6212,"{'lon': 73.400002, 'lat': 21.116671}",IN,1253074,Vyara
6213,"{'lon': 80.849998, 'lat': 16.366671}",IN,1253077,Vuyyuru
6214,"{'lon': 74.550003, 'lat': 17.283331}",IN,1253091,Vite
6215,"{'lon': 72.550003, 'lat': 23.700001}",IN,1253095,Visnagar
6216,"{'lon': 77.533333, 'lat': 8.7}",IN,1253127,Viravanallur
6217,"{'lon': 79.75, 'lat': 16.049999}",IN,1253150,Vinukonda
6218,"{'lon': 79.48333, 'lat': 11.93333}",IN,1253166,Villupuram
6219,"{'lon': 77.900002, 'lat': 17.33333}",IN,1253182,Vikarabad
6220,"{'lon': 72.75, 'lat': 23.566669}",IN,1253193,Vijapur
6221,"{'lon': 77.816673, 'lat': 23.533331}",IN,1253200,Vidisha
