,0
0,Rice (milled)
1,Wheat
2,Wheat flour
3,Maize
4,Sorghum
5,Cattail(Pearl) millet
6,Foxtail millet
7,Finger Millet
8,Samai
9,Ladies fingers
10,Brinjal
11,Papaya
12,Banana green
13,Bengaigram
14,Cowpea
15,Indian bean
16,Broad beans
17,Cluster beans
18,Cucumber
19,Greengram
20,Mung
21,Lentil
22,Peas
23,Redgram
24,Agathi
25,Cabbage
26,Coriander leaves
27,Drumstick
28,Ash gourd
29,Bitter gourd
30,Bottle gourd
31,Pumpkin
32,Ribbed gourd
33,Gingelly
34,Sunflower
35,Coconut
36,Groundnut
37,Mustard
38,Chilies
39,Turmeric
